tool,domain,label
calculate,retail,read
cancel_pending_order,retail,write
exchange_delivered_order_items,retail,write
find_user_id_by_email,retail,read
find_user_id_by_name_zip,retail,read
get_order_details,retail,read
get_product_details,retail,read
get_user_details,retail,read
list_all_product_types,retail,read
modify_pending_order_address,retail,write
modify_pending_order_items,retail,write
modify_pending_order_payment,retail,write
modify_user_address,retail,write
return_delivered_order_items,retail,write
think,retail,read
transfer_to_human_agents,retail,read
book_reservation,airline,write
calculate,airline,read
cancel_reservation,airline,write
get_reservation_details,airline,read
get_user_details,airline,read
list_all_airports,airline,read
search_direct_flight,airline,read
search_onestop_flight,airline,read
send_certificate,airline,write
think,airline,read
transfer_to_human_agents,airline,read
update_reservation_baggages,airline,write
update_reservation_flights,airline,write
update_reservation_passengers,airline,write
